factor,factor_iri,factor_label,cfde_disease
Skeletal development and ossification,https://purl.org/okn/frink/kg/digcfdekg/node/factor/806f83fc681244276c69,Skeletal development and ossification (trait context: Type 2 diabetes with ketoacidosis),Type 2 diabetes with ketoacidosis
Skeletal development and receptors,https://purl.org/okn/frink/kg/digcfdekg/node/factor/402bb96b2e503389cfe2,Skeletal development and receptors (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Skeletal growth and bone abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/55a7620e47687312273e,Skeletal growth and bone abnormalities (trait context: Type 2 diabetes (additive model)),Type 2 diabetes (additive model)
Skeletal morphologies and development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/8d5ae27d12465bcfe9f9,Skeletal morphologies and development (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Skeletal morphology and BMP signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6a739635c50ba16309a6,Skeletal morphology and BMP signaling (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
Skeletal muscle and NK cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c7851ec7c4c885d29f22,Skeletal muscle and NK cells (trait context: Rare aplastic anemia),Rare aplastic anemia
Skeletal muscle and ovarian cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0367a357711bd7ee448b,Skeletal muscle and ovarian cells (trait context: Rare aplastic anemia),Rare aplastic anemia
Skeletal muscle morphology abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/55ecf898f763ecc76830,Skeletal muscle morphology abnormalities (trait context: Dilated cardiomyopathy; broad definition),Dilated cardiomyopathy; broad definition
Skeletal muscle up-regulated genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/624b422a56097fd32780,Skeletal muscle up-regulated genes (trait context: Dilated cardiomyopathy),Dilated cardiomyopathy
SLE autoantibodies and nephritis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7e7ab250806e4a0f6254,SLE autoantibodies and nephritis (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
SLE risk with autoimmunity markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e510c914b2bd8dae2dfe,SLE risk with autoimmunity markers (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
SLE with B cell activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b66859f21a1db788ce2d,SLE with B cell activation (trait context: systemic lupus erythematosus),systemic lupus erythematosus
SLE with memory T cells,https://purl.org/okn/frink/kg/digcfdekg/node/factor/42a416a4e6261818051e,SLE with memory T cells (trait context: systemic lupus erythematosus),systemic lupus erythematosus
SMAD signaling and miRNA regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5d7b04d3395de5513cce,SMAD signaling and miRNA regulation (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Small islets and insulin impairment,https://purl.org/okn/frink/kg/digcfdekg/node/factor/24ea445dbb03e57dc9ef,Small islets and insulin impairment (trait context: Type 2 diabetes (T2D) adj BMI),Type 2 diabetes (T2D) adj BMI
SMARCB1 Tumor Suppressor Network,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7191298b385699f73040,SMARCB1 Tumor Suppressor Network (trait context: Meningioma),Meningioma
Sodium and calcium channels,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a3c6ee1db0058b6eda9e,Sodium and calcium channels (trait context: Brugada syndrome),Brugada syndrome
Sodium and potassium transport regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/735c941095e38bd58121,Sodium and potassium transport regulation (trait context: Brugada syndrome),Brugada syndrome
Sodium channel complex and transport,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4c17376978640f102691,Sodium channel complex and transport (trait context: Brugada syndrome),Brugada syndrome
Sodium channel depolarization and conduction,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ba9d46a28366d3a0b30d,Sodium channel depolarization and conduction (trait context: Brugada syndrome),Brugada syndrome
Sodium channel regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/33df65107e73a6ed8221,Sodium channel regulation (trait context: Brugada syndrome),Brugada syndrome
Somite formation and limb defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/bbce0fa19408ad521257,Somite formation and limb defects (trait context: Oligodontia),Oligodontia
Spasticity with autophagy impairment,https://purl.org/okn/frink/kg/digcfdekg/node/factor/257a19207f13d8e090e6,Spasticity with autophagy impairment (trait context: Hereditary spastic paraplegia),Hereditary spastic paraplegia
Sphingolipid Metabolism and Ceramide,https://purl.org/okn/frink/kg/digcfdekg/node/factor/79effa65f9c54852f765,Sphingolipid Metabolism and Ceramide (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Spleen absence and immune traits,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1d0cefd1394d8e09f252,Spleen absence and immune traits (trait context: primary biliary cirrhosis),primary biliary cirrhosis
Spleen and B cell alterations,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f718934dbf9d8c9ac8b0,Spleen and B cell alterations (trait context: inflammatory bowel disease),inflammatory bowel disease
Spleen and erythrocyte markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5ec183b740b1405bc9b0,Spleen and erythrocyte markers (trait context: Porphyria),Porphyria
Spleen changes; leukemia and genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f425969458f57dabf3c0,Spleen changes; leukemia and genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Spleen morphology and lymphoid genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/03fe6f256a15967a98ef,Spleen morphology and lymphoid genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
Spliceosome components,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cb1652f04621164f264f,Spliceosome components (trait context: Retinitis pigmentosa),Retinitis pigmentosa
Spliceosome-related retinal degeneration,https://purl.org/okn/frink/kg/digcfdekg/node/factor/97e4c78455f64edb27ab,Spliceosome-related retinal degeneration (trait context: Retinitis pigmentosa),Retinitis pigmentosa
STAT5 signaling with IRF4 IKZF4,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9ad3ff806278fad43a6d,STAT5 signaling with IRF4 IKZF4 (trait context: Childhood-onset asthma),Childhood-onset asthma
Statin Cholesterol Production and Transport,https://purl.org/okn/frink/kg/digcfdekg/node/factor/7506dc8a189265b07cfc,Statin Cholesterol Production and Transport (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Stem cell and mesenchymal differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e069ecc19f455e8368c2,Stem cell and mesenchymal differentiation (trait context: Hirschsprung disease),Hirschsprung disease
Stem cell and neural guidance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/739d357dc8fb260af5eb,Stem cell and neural guidance (trait context: Hyperaldosteronism),Hyperaldosteronism
Stem cell proliferation and development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3545743d1ed1f3a3f993,Stem cell proliferation and development (trait context: Primary open-angle glaucoma),Primary open-angle glaucoma
Steroid hormone biosynthesis and metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/66bd6166844f6441ad75,Steroid hormone biosynthesis and metabolism (trait context: Congenital adrenal hyperplasia),Congenital adrenal hyperplasia
Steroid metabolism and androgen synthesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0ec8750f36ef5fb1c3da,Steroid metabolism and androgen synthesis (trait context: Congenital adrenal hyperplasia),Congenital adrenal hyperplasia
Sterol and Triglyceride Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/01485447a2fd3517c308,Sterol and Triglyceride Metabolism (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
Sterol Transport and Lipoprotein Assembly,https://purl.org/okn/frink/kg/digcfdekg/node/factor/85822a0a45b9fd8ea623,Sterol Transport and Lipoprotein Assembly (trait context: Disorder of lipid metabolism),Disorder of lipid metabolism
STK17A and MAP3K14 coexpression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2c42d13984633b434985,STK17A and MAP3K14 coexpression (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Striated Muscle and Heart Development,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6d3277ba0edb7eaf2c05,Striated Muscle and Heart Development (trait context: Severe insulin-resistant type 2 diabetes),Severe insulin-resistant type 2 diabetes
Sulfatase Activity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/60201ccae8e544a15b22,Sulfatase Activity (trait context: Lysosomal disease),Lysosomal disease
Synaptic organization proteins,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cdaf16d9188198ff84a8,Synaptic organization proteins (trait context: major depressive disorder),major depressive disorder
Synaptic plasticity and cognition,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ef58f281099f3d9de0b9,Synaptic plasticity and cognition (trait context: Gastroesophageal reflux disease (GERD)),Gastroesophageal reflux disease (GERD)
Synaptic Signaling Program,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9f333cfebcf6b7085dc8,Synaptic Signaling Program (trait context: Acute lymphoblastic leukemia),Acute lymphoblastic leukemia
Systemic lupus and complement genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/44a2d69e981e8c056742,Systemic lupus and complement genes (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
Systemic lupus and transplant genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a5702e46343eb668439e,Systemic lupus and transplant genes (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
Systemic lupus erythematosus markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5f7d890680e8539a790e,Systemic lupus erythematosus markers (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
Systemic Lupus Erythematosus Signals,https://purl.org/okn/frink/kg/digcfdekg/node/factor/993c693f88e4e2c8b922,Systemic Lupus Erythematosus Signals (trait context: childhood onset asthma),childhood onset asthma
Systemic lupus markers and antibodies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/34dec409bc8be1446b58,Systemic lupus markers and antibodies (trait context: Psoriasis),Psoriasis
Systemic lupus susceptibility and antibodies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/90a608a081c1ab27ae6d,Systemic lupus susceptibility and antibodies (trait context: inflammatory bowel disease),inflammatory bowel disease
Systemic lupus with autoantibodies,https://purl.org/okn/frink/kg/digcfdekg/node/factor/eba7011d38495572d379,Systemic lupus with autoantibodies (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
T and B cell signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/65aece23c94be1d9db1d,T and B cell signaling (trait context: Multiple sclerosis),Multiple sclerosis
T and B cell signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cf115c82aa6671eb42ed,T and B cell signaling (trait context: Psoriasis),Psoriasis
T and NK Cell Dysfunctions,https://purl.org/okn/frink/kg/digcfdekg/node/factor/31a4a6ab2147c83335f1,T and NK Cell Dysfunctions (trait context: childhood onset asthma),childhood onset asthma
T Cell Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/47acc9a3c5a5bbab3046,T Cell Activation (trait context: leprosy),leprosy
T cell activation and autoimmunity,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c38df6ee5cfb237efca5,T cell activation and autoimmunity (trait context: Lymphoma),Lymphoma
T cell activation and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/abaea608b00f8f99a96f,T cell activation and cytokines (trait context: Takayasu arteritis),Takayasu arteritis
T cell activation and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/1827d405ee5dc6b99256,T cell activation and differentiation (trait context: atopic eczema),atopic eczema
T cell activation and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ba678e0520238ab0beb0,T cell activation and differentiation (trait context: Lymphoma),Lymphoma
T cell activation and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9bf0a765db9f0e5ef43a,T cell activation and differentiation (trait context: Narcolepsy),Narcolepsy
T cell activation and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e954cb8764de82c799e2,T cell activation and differentiation (trait context: psoriasis),psoriasis
T cell activation and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f71e9c34ec7b61d12a9b,T cell activation and differentiation (trait context: Psoriasis),Psoriasis
T cell activation and hyperplasia,https://purl.org/okn/frink/kg/digcfdekg/node/factor/af99a4d8376603c7beb2,T cell activation and hyperplasia (trait context: atopic eczema),atopic eczema
T cell activation and NF-kB,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f3d50f1d3e3de41de7e5,T cell activation and NF-kB (trait context: Multiple sclerosis),Multiple sclerosis
T cell activation and regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/21139d59c89362df0ee9,T cell activation and regulation (trait context: allergic disease),allergic disease
T cell activation and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/382e00df638a3f5b0ad0,T cell activation and signaling (trait context: primary biliary cirrhosis),primary biliary cirrhosis
T Cell Activation Regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a1ba8e3b37d140da4cc1,T Cell Activation Regulation (trait context: Atopic dermatitis),Atopic dermatitis
T cell activation with IFN-γ,https://purl.org/okn/frink/kg/digcfdekg/node/factor/76c997969613bc5d12d7,T cell activation with IFN-γ (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
T cell and antibody dysregulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/959fa87da0afa0db46e0,T cell and antibody dysregulation (trait context: Systemic lupus erythematosus),Systemic lupus erythematosus
T cell and hematopoiesis genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/46aa8e4603351bd6890e,T cell and hematopoiesis genes (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
T cell costimulation and CTLA4,https://purl.org/okn/frink/kg/digcfdekg/node/factor/36e96e35d8bdfba84c35,T cell costimulation and CTLA4 (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
T cell costimulation and rejection,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9318a3ec4ee353437f15,T cell costimulation and rejection (trait context: Psoriasis),Psoriasis
T cell cytokine signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/752bb3773ea312152692,T cell cytokine signaling (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
T cell cytotoxicity and cytokines,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d80e3fc9e3f785cb8c08,T cell cytotoxicity and cytokines (trait context: ankylosing spondylitis),ankylosing spondylitis
T Cell Development and Differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b7cf9ba1a0f4c67a67d0,T Cell Development and Differentiation (trait context: Atopic dermatitis),Atopic dermatitis
T cell development and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b4c20ea4707b07859a3c,T cell development and differentiation (trait context: atopic eczema),atopic eczema
T cell development and migration,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b7af97828772c4f37c7b,T cell development and migration (trait context: Childhood-onset asthma),Childhood-onset asthma
T cell development and TFs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/26f3ed4592e332c3d682,T cell development and TFs (trait context: Non-Hodgkin's lymphoma),Non-Hodgkin's lymphoma
T Cell Differentiation Abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b4b2b84be0c46a34763e,T Cell Differentiation Abnormalities (trait context: childhood onset asthma),childhood onset asthma
T cell differentiation abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0a001b86cbf31055182e,T cell differentiation abnormalities (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
T cell differentiation abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/aca29c331b8209093235,T cell differentiation abnormalities (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
T cell differentiation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/032e87429b4009dd477e,T cell differentiation and activation (trait context: ankylosing spondylitis),ankylosing spondylitis
T Cell Differentiation and Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2896724726897b6919df,T Cell Differentiation and Activation (trait context: childhood onset asthma),childhood onset asthma
T cell differentiation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5796047d5a6019dbc060,T cell differentiation and activation (trait context: Childhood-onset asthma),Childhood-onset asthma
T cell differentiation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c4457843bb96c3a5ba71,T cell differentiation and activation (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
T cell differentiation and apoptosis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/48b6448f5739d11e9d46,T cell differentiation and apoptosis (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
T cell differentiation and markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ccf9bb5f04dba53adb3b,T cell differentiation and markers (trait context: Non-Hodgkin's lymphoma),Non-Hodgkin's lymphoma
T cell differentiation and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6b6b74ec502dd5fa5d59,T cell differentiation and signaling (trait context: autoimmune disease),autoimmune disease
T cell differentiation and thymocytes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e945dd4281ad0932b422,T cell differentiation and thymocytes (trait context: Childhood-onset asthma),Childhood-onset asthma
T cell differentiation defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ccf81a23c82dd5c747ca,T cell differentiation defects (trait context: allergic disease),allergic disease
T cell differentiation defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e9fc938d0c585ab3c54b,T cell differentiation defects (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
T cell differentiation in thymus,https://purl.org/okn/frink/kg/digcfdekg/node/factor/47785d75c8ec32479216,T cell differentiation in thymus (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
T cell differentiation pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f3213db15432da7ed46c,T cell differentiation pathways (trait context: allergic disease),allergic disease
T cell differentiation regulators,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0790969b48940d749c9e,T cell differentiation regulators (trait context: allergic disease),allergic disease
T cell differentiation regulators,https://purl.org/okn/frink/kg/digcfdekg/node/factor/99a1156e3b2c12ab5da9,T cell differentiation regulators (trait context: Psoriasis),Psoriasis
T cell dysfunction and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b62e9c0434c91ea67018,T cell dysfunction and activation (trait context: allergic disease),allergic disease
T cell lymphoma and hematopoietic,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e7067d015a2257399f88,T cell lymphoma and hematopoietic (trait context: Precursor B-cell acute lymphoblastic leukemia),Precursor B-cell acute lymphoblastic leukemia
T Cell Mediated Immunity Regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/daf8acfe95488f154c3d,T Cell Mediated Immunity Regulation (trait context: leprosy),leprosy
T cell modulation and tolerance,https://purl.org/okn/frink/kg/digcfdekg/node/factor/2b62ca15370ece5598f6,T cell modulation and tolerance (trait context: Vasculitis),Vasculitis
T Cell Morphology Abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d8d7a7cc90b0e8277f4a,T Cell Morphology Abnormalities (trait context: childhood onset asthma),childhood onset asthma
T cell numbers and differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d5acfa9287af53e11a95,T cell numbers and differentiation (trait context: type 1 diabetes mellitus),type 1 diabetes mellitus
T cell physiology and regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5274b96bc333552d29d8,T cell physiology and regulation (trait context: Primary sclerosing cholangitis),Primary sclerosing cholangitis
T Cell Proliferation and Activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/6406bc85a3c8e026d4b9,T Cell Proliferation and Activation (trait context: childhood onset asthma),childhood onset asthma
T cell proliferation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ee8c890823cff20dde91,T cell proliferation and activation (trait context: Psoriasis),Psoriasis
T Cell Proliferation and Adhesion,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c5544ce6fdf692d8a389,T Cell Proliferation and Adhesion (trait context: Primary biliary cholangitis),Primary biliary cholangitis
T cell proliferation and selection,https://purl.org/okn/frink/kg/digcfdekg/node/factor/26a6c73373ed566fd715,T cell proliferation and selection (trait context: inflammatory bowel disease),inflammatory bowel disease
T cell proliferation signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/758efb548dced27d3236,T cell proliferation signaling (trait context: allergic disease),allergic disease
T Cell Receptor Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/4bac47d6c5dec45d2fe7,T Cell Receptor Signaling (trait context: Primary biliary cholangitis),Primary biliary cholangitis
T cell receptor signaling abnormalities,https://purl.org/okn/frink/kg/digcfdekg/node/factor/60c484c3633d4cc7baf8,T cell receptor signaling abnormalities (trait context: multiple sclerosis),multiple sclerosis
T cell receptor signaling genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f421a990de4f22861337,T cell receptor signaling genes (trait context: IgA nephropathy (IgAN)),IgA nephropathy (IgAN)
T Cell Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/758f475b33afe8fcd564,T Cell Signaling (trait context: Systemic sclerosis),Systemic sclerosis
T cell signaling and proliferation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/47c673cc44ab27f03a13,T cell signaling and proliferation (trait context: inflammatory bowel disease),inflammatory bowel disease
T cell subsets and selection,https://purl.org/okn/frink/kg/digcfdekg/node/factor/dd1f24fb1daab6b1c7d2,T cell subsets and selection (trait context: Lymphoma),Lymphoma
T cells and autoimmunity markers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a39ea606f21443cee80b,T cells and autoimmunity markers (trait context: allergic disease),allergic disease
T Helper 17 Response,https://purl.org/okn/frink/kg/digcfdekg/node/factor/762a77fddceba3796470,T Helper 17 Response (trait context: psoriasis vulgaris),psoriasis vulgaris
T helper differentiation and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a4568c0386ebca0e467e,T helper differentiation and activation (trait context: multiple sclerosis),multiple sclerosis
T helper differentiation and signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0c995ea920558c2ef55c,T helper differentiation and signaling (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
T Helper Differentiation Regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/e12515bfa990ae867957,T Helper Differentiation Regulation (trait context: Atopic dermatitis),Atopic dermatitis
T helper differentiation regulation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f7f343f9088e42a5990a,T helper differentiation regulation (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
T-cell selective chemokine receptor expression,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c694b770b9f40d8961ae,T-cell selective chemokine receptor expression (trait context: Behcet's syndrome),Behcet's syndrome
Tail and craniofacial development defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/0ae5e98a762e5f672d0b,Tail and craniofacial development defects (trait context: Neural tube defect),Neural tube defect
Tail and vertebral development defects,https://purl.org/okn/frink/kg/digcfdekg/node/factor/106865cf7935def779ef,Tail and vertebral development defects (trait context: Neural tube defect),Neural tube defect
TCA Cycle and Related Metabolism,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c0cd392df82f10ec6e3e,TCA Cycle and Related Metabolism (trait context: Organic aciduria),Organic aciduria
TCR and BCR signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/12cfd4ab2baba545e02c,TCR and BCR signaling (trait context: Systemic lupus erythematosus (SLE)),Systemic lupus erythematosus (SLE)
TCR signaling and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/229ddc1b9e0f938ed33c,TCR signaling and activation (trait context: Inflammatory bowel disease (IBD)),Inflammatory bowel disease (IBD)
TCR signaling and activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ac5b6b83c09fb3faf74f,TCR signaling and activation (trait context: Multiple sclerosis),Multiple sclerosis
TCR signaling and activation modulators,https://purl.org/okn/frink/kg/digcfdekg/node/factor/3deb617513146b041058,TCR signaling and activation modulators (trait context: Type 1 diabetes (T1D)),Type 1 diabetes (T1D)
TCR signaling and thymocyte activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/522e8dc8bfd10c36f158,TCR signaling and thymocyte activation (trait context: allergic disease),allergic disease
TCR signaling in infections,https://purl.org/okn/frink/kg/digcfdekg/node/factor/cc4febd31f56b0cca75e,TCR signaling in infections (trait context: atopic eczema),atopic eczema
Telomere Biology and DNA Repair,https://purl.org/okn/frink/kg/digcfdekg/node/factor/f0ddd42a1b2d3499e870,Telomere Biology and DNA Repair (trait context: Familial melanoma),Familial melanoma
Telomere Length and Cancer Pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/a5a85cd2421195ad1b8b,Telomere Length and Cancer Pathways (trait context: Familial melanoma),Familial melanoma
Telomere maintenance and enzymes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c4f92d9ca96de592c1fb,Telomere maintenance and enzymes (trait context: Rare aplastic anemia),Rare aplastic anemia
Telomere maintenance and repair,https://purl.org/okn/frink/kg/digcfdekg/node/factor/aff010e4a739b3f9d21e,Telomere maintenance and repair (trait context: Rare aplastic anemia),Rare aplastic anemia
Tetralogy and septum morphogenesis genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/c94d37235c3504b4457c,Tetralogy and septum morphogenesis genes (trait context: Tetralogy of Fallot),Tetralogy of Fallot
TGF Beta Signaling,https://purl.org/okn/frink/kg/digcfdekg/node/factor/139068926ec272b9020e,TGF Beta Signaling (trait context: colorectal cancer),colorectal cancer
TGF Beta Signaling and Differentiation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b77e18e98f25146a81a4,TGF Beta Signaling and Differentiation (trait context: colorectal cancer),colorectal cancer
TGF-beta signaling and angiogenesis,https://purl.org/okn/frink/kg/digcfdekg/node/factor/9712cfc369cd42bb9be5,TGF-beta signaling and angiogenesis (trait context: Hyperaldosteronism),Hyperaldosteronism
TGF-beta signaling and SMADs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/50f9d37dee5b581ec574,TGF-beta signaling and SMADs (trait context: Carpal tunnel syndrome),Carpal tunnel syndrome
TGFB pathway upregulated genes,https://purl.org/okn/frink/kg/digcfdekg/node/factor/5eb6187c715e0cfee8ca,TGFB pathway upregulated genes (trait context: Hyperaldosteronism),Hyperaldosteronism
TGFB signaling in cancers,https://purl.org/okn/frink/kg/digcfdekg/node/factor/208d4be36d17759ffb76,TGFB signaling in cancers (trait context: Lynch syndrome),Lynch syndrome
TGFB1/SMADs and cancer pathways,https://purl.org/okn/frink/kg/digcfdekg/node/factor/d6bbb288180cc9f57028,TGFB1/SMADs and cancer pathways (trait context: Childhood-onset asthma),Childhood-onset asthma
TGFβ Signaling and Mesonephros,https://purl.org/okn/frink/kg/digcfdekg/node/factor/ebeedfbd6ebf6746ac3e,TGFβ Signaling and Mesonephros (trait context: colorectal cancer),colorectal cancer
Th1 allograft tolerance and ILs,https://purl.org/okn/frink/kg/digcfdekg/node/factor/31d968ec646635e244cd,Th1 allograft tolerance and ILs (trait context: primary biliary cirrhosis),primary biliary cirrhosis
TH1 differentiation and cytotoxic activation,https://purl.org/okn/frink/kg/digcfdekg/node/factor/b32990e92634d250a723,TH1 differentiation and cytotoxic activation (trait context: Vasculitis),Vasculitis
